Opponent,id,Day,Time,prediction,lower_bound,upper_bound
Clemson,211,Saturday,Night,33.2785187,17.78072994,62.28427124
Clemson,127,Saturday,Night,98.46194628,52.63088688,184.2027646
Clemson,122,Saturday,Night,56.44969365,30.16720497,105.6302006
Clemson,210,Saturday,Night,32.49849614,17.37060325,60.80112685
Clemson,216,Saturday,Night,32.23924604,17.23227624,60.31524627
Clemson,215,Saturday,Night,39.5530326,21.13915843,74.0068434
Clemson,121,Saturday,Night,49.59791585,26.50954741,92.79499264
Clemson,213,Saturday,Night,32.74534191,17.50453447,61.25598019
Clemson,212,Saturday,Night,32.30034866,17.26435222,60.43160559
Clemson,101,Saturday,Night,41.39952586,22.13298025,77.4374134
Clemson,103,Saturday,Night,68.97604741,36.86853499,129.0448649
Clemson,226L,Saturday,Night,58.72779679,31.37246678,109.9357006
Clemson,CL3,Saturday,Night,173.856264,92.86687642,325.4766574
Clemson,132,Saturday,Night,39.3897577,21.05760675,73.68135562
Clemson,124,Saturday,Night,89.38735575,47.75068083,167.3295381
Clemson,202,Saturday,Night,38.74279763,20.71069948,72.47482731
