	Opponent	Section	Day	Time	prediction	lower_bound	upper_bound
262	Clemson	CL3	Saturday	Noon	138.020305112862	73.7778796616196	258.202115740083
263	Clemson	132	Saturday	Noon	31.2705809480296	16.7286630441892	58.4535195815863
264	Clemson	124	Saturday	Noon	70.9624711380568	37.9345179887364	132.746442475287
265	Clemson	202	Saturday	Noon	30.7569749146321	16.4528284398955	57.4971962635575
266	Clemson	105	Saturday	Noon	88.088927406616	47.116549437107	164.690734452147
267	Clemson	219	Saturday	Noon	22.3154146467138	11.9300950502167	41.7413045544615
268	Clemson	227	Saturday	Noon	34.8858942337088	18.6602960720978	65.2200593057741
269	Clemson	221	Saturday	Noon	29.495573259114	15.769976846122	55.1674140281124
270	Clemson	102	Saturday	Noon	42.8646734695007	22.930029385481	80.1298681636373
271	Clemson	222	Saturday	Noon	32.6504184282383	17.4647176121975	61.0401981417958
272	Clemson	104	Saturday	Noon	65.083548596101	34.8176203407001	121.658753711824
273	Clemson	CL1	Saturday	Noon	124.728190481467	66.6425334083577	233.441328009749
274	Clemson	214	Saturday	Noon	27.7532297065261	14.8441601460056	51.8885374158717
275	Clemson	107	Saturday	Noon	93.0360538356778	49.7648225836953	173.932244986061
276	Clemson	223	Saturday	Noon	35.7660588813249	19.124632159674	66.8881344865672
277	Clemson	201	Saturday	Noon	25.4801331097201	13.6272180577192	47.6426795652025
278	Clemson	CL4	Saturday	Noon	114.768352080781	61.3260222043667	214.782798001209
279	Clemson	207	Saturday	Noon	31.3089293603634	16.7433686919769	58.5455099105559
280	Clemson	206U	Saturday	Noon	29.705247899746	15.8764349325248	55.5793385943123
281	Clemson	225	Saturday	Noon	49.5540570457144	26.4973202937647	92.6736946402753
282	Clemson	106	Saturday	Noon	102.135236338796	54.5954233103734	191.071080128425
283	Clemson	224L	Saturday	Noon	59.2428355737665	31.6834677014079	110.774287710444
284	Clemson	218	Saturday	Noon	30.4502696277072	16.2809675258649	56.9510945173883
285	Clemson	204U	Saturday	Noon	37.9631142605449	20.2986297562229	70.9997700173512
286	Clemson	208	Saturday	Noon	27.2631748465931	14.5699379842764	51.0146785468847
287	Clemson	224U	Saturday	Noon	32.0669273845189	17.1468084904137	59.9696341426392
288	Clemson	206L	Saturday	Noon	40.364439951858	21.5434293450343	75.6280713962884
289	Clemson	130	Saturday	Noon	33.4999476251569	17.8158677218867	62.9914022941235
290	Clemson	229	Saturday	Noon	26.6414799294036	14.230229323688	49.8775133333455
291	Clemson	203L	Saturday	Noon	39.0853264769247	20.8457664733988	73.2840765417396
292	Clemson	203U	Saturday	Noon	34.1681849740273	18.2524815234925	63.9619803431505
293	Clemson	204L	Saturday	Noon	44.5190314327635	23.7090519965713	83.5944077392049
294	Clemson	226U	Saturday	Noon	32.5637502936406	17.4138622298277	60.8938912684317
295	Clemson	110	Saturday	Noon	41.555581184783	22.1699092199338	77.8923499629126
296	Clemson	131	Saturday	Noon	34.2611099606094	18.2857563785689	64.1933334028612
297	Clemson	205U	Saturday	Noon	32.834583340924	17.5543544676581	61.4155231488789
298	Clemson	205L	Saturday	Noon	46.9167432600112	24.956570354738	88.2004524995925
299	Clemson	TT3	Saturday	Noon	75.2883383140344	31.0573932153834	182.511579345328
300	Clemson	TT1	Saturday	Noon	329.043948820049	135.719350647376	797.74858735064
301	Clemson	128	Saturday	Afternoon	65.8615795546326	35.22893926581	123.130237578314
302	Clemson	123	Saturday	Afternoon	66.4555798223489	35.5348041878504	124.282212621128
303	Clemson	111	Saturday	Afternoon	45.6790314849767	24.431274912039	85.4058547872707
304	Clemson	228	Saturday	Afternoon	37.9861145121494	20.3163395015281	71.0238621293759
305	Clemson	109	Saturday	Afternoon	68.5819662939335	36.6652634921138	128.28180279555
306	Clemson	217	Saturday	Afternoon	32.4449647125282	17.3519792581902	60.6660323605638
307	Clemson	CL2	Saturday	Afternoon	159.696150498647	85.3729737754247	298.722878638062
308	Clemson	108	Saturday	Afternoon	87.8882225499534	46.9999421296552	164.347854762918
309	Clemson	129	Saturday	Afternoon	55.6824559448407	29.7839008225451	104.101068510883
310	Clemson	211	Saturday	Afternoon	31.5283246645829	16.8529570278767	58.982839302984
311	Clemson	127	Saturday	Afternoon	93.283605491903	49.8797161152759	174.456306717111
